Customer,Margin Percent,Origin City,Destination City,Mode,Modes,Loads
W&W WHOLESALE INC (89812-P1),36.53,LINDEN,SAN DIEGO,LTL,LTL,W&W WHOLESALE INC (89812-P1)
HIGOLD (96912-P1),25.53,FONTANA,FOSTER CITY,LTL,LTL,HIGOLD (96912-P1)
GRAYSON LUXURY -- DNS (105305-P1),18.5,HIGH POINT,BEAUFORT,LTL,LTL,GRAYSON LUXURY -- DNS (105305-P1)
GREEN POWER BATTERIES (105428-P1),15.0,YORK,TROY,LTL,LTL,GREEN POWER BATTERIES (105428-P1)
SITMATIC USA (94646-P1),20.86,FULLERTON,OKLAHOMA CITY,LTL,LTL,SITMATIC USA (94646-P1)
KW INTERNATIONAL (65898-P1),28.14,RIPLEY,GRAND PRAIRIE,LTL,LTL,KW INTERNATIONAL (65898-P1)
HYLIO INC (113143-P1),24.65,RICHMOND,WEST ALEXANDRIA,LTL,LTL,HYLIO INC (113143-P1)
LANDMARK GRAFIX (230693-P1),13.17,SAN LEANDRO,VALENCIA,LTL,LTL,LANDMARK GRAFIX (230693-P1)
FBD LOGISTICS (228466-P1),16.55,Walnut,Grand Prairie,Truckload,Truckload,FBD LOGISTICS (228466-P1)
DAILY CONCEPTS (116842-P1),18.0,LOS ANGELES,HOUSTON,LTL,LTL,DAILY CONCEPTS (116842-P1)
EEZGLOBAL INC (82586-P1),14.5,HAYWARD,NORTH MIAMI BEACH,LTL,LTL,EEZGLOBAL INC (82586-P1)
PAR INTERNATIONAL INC (101842-P1),12.74,COLUMBUS,MACOMB,LTL,LTL,PAR INTERNATIONAL INC (101842-P1)
KINGER INDUSTRY INC (81250-P1),14.5,ONTARIO,FORT MYERS,LTL,LTL,KINGER INDUSTRY INC (81250-P1)
MJ TREEHOUSE VENTURES DBA UPSCAPERS (116801-P1),20.11,NASHVILLE,FORT LEE,LTL,LTL,MJ TREEHOUSE VENTURES DBA UPSCAPERS (116801-P1)
CODAN MX (247594-P1),43.52,ROCHESTER,SAN DIEGO,LTL,LTL,CODAN MX (247594-P1)
SOUTHLAND POLYMERS (243007-P1),10.38,HOUSTON,HOUSTON,LTL,LTL,SOUTHLAND POLYMERS (243007-P1)
EXT FABRICS (50457-P1),14.5,SANTA ANA,PHOENIX,LTL,LTL,EXT FABRICS (50457-P1)
WWTL GROUP LTD (238135-P1),13.62,GARDENA,CHANDLER,LTL,LTL,WWTL GROUP LTD (238135-P1)
JARROW INDUSTRIES (109658-P1),37.11,Fullerton,Santa Fe Springs,Truckload Expedited,Truckload Expedited,JARROW INDUSTRIES (109658-P1)
IOWA PARTS INC (102965-P1),13.5,HIAWATHA,KINGS PARK,LTL,LTL,IOWA PARTS INC (102965-P1)
FBD LOGISTICS (228466-P1),26.36,WALNUT,KAYSVILLE,LTL,LTL,FBD LOGISTICS (228466-P1)
RB COMPONENTS (51610-P1),22.42,SANTA FE SPRINGS,HENDERSON,LTL,LTL,RB COMPONENTS (51610-P1)
THE NEW DIAMOND LINE CONTAINER CORPORATION (109641-P1),14.24,JAMESTOWN,GWYNN OAK,LTL,LTL,THE NEW DIAMOND LINE CONTAINER CORPORATION (109641-P1)
SMITTY PAN MFG (89500-P1),18.86,LOMITA,AUBURN,LTL,LTL,SMITTY PAN MFG (89500-P1)
FBD LOGISTICS (228466-P1),21.57,Walnut,Portland,Truckload Expedited,Truckload Expedited,FBD LOGISTICS (228466-P1)
PLANTATION CANDIES (93930-P1),25.69,TELFORD,LINWOOD,Enterprise,Enterprise,PLANTATION CANDIES (93930-P1)
TILE TECH INC (65929-P1),16.5,CLARKSVILLE,RALEIGH,LTL,LTL,TILE TECH INC (65929-P1)
THE NORTHWEST GROUP LLC (104134-P1),16.0,ELKIN,LAS VEGAS,LTL,LTL,THE NORTHWEST GROUP LLC (104134-P1)
RII EXPRESS (80710-P1),34.72,LA MIRADA,ELKHART,LTL,LTL,RII EXPRESS (80710-P1)
IOWA PARTS INC (102965-P1),12.0,HIAWATHA,CORDOVA,LTL,LTL,IOWA PARTS INC (102965-P1)
RASKIN (100279-P1),17.0,FINDLAY,OREM,LTL,LTL,RASKIN (100279-P1)
BEST SHEET METAL (50790-P1),22.97,POMONA,WEST VALLEY CITY,LTL,LTL,BEST SHEET METAL (50790-P1)
KOSTER KEUNEN MANUFACTURING INC (242096-P1),13.5,WATERTOWN,DOYLESTOWN,LTL,LTL,KOSTER KEUNEN MANUFACTURING INC (242096-P1)
METALLIC LADDER MANUFACTURING (116334-P1),15.28,RANDOLPH,BROOKLYN,LTL,LTL,METALLIC LADDER MANUFACTURING (116334-P1)
THE ABS COMPANY (97215-P1),14.62,MILWAUKEE,DUNDEE,LTL,LTL,THE ABS COMPANY (97215-P1)
HTT CARGO (244047-P1),17.23,JOLIET,BANGOR,LTL,LTL,HTT CARGO (244047-P1)
CHOYCE PRODUCTS INC (103069-P1),12.0,SCOTTSDALE,GALLUP,LTL,LTL,CHOYCE PRODUCTS INC (103069-P1)
IOWA PARTS INC (102965-P1),12.62,MARION,KEENE,LTL,LTL,IOWA PARTS INC (102965-P1)
BOLIDE TECHNOLOGY GROUP (104073-P1),26.43,SAN DIMAS,RIDGELAND,LTL,LTL,BOLIDE TECHNOLOGY GROUP (104073-P1)
