Customer,Margin Percent,Gross Margin,Variance Count,Variance %,loads,Win Ratio,Total Quotes
ENGINEERED PROCESS SYSTEMS CORPORATION (98670-P1),13.84,$927,1,5%,21,55%,38
ENGINEERED SOURCE INC (51710-P1),13.24,$391,0,0%,11,48%,23
ENTREPACK (82051-P1),18.4,"$1,018",3,23%,13,58%,24
ENVIROMOTIVE (110532-P1),14.77,"$3,837",17,24%,72,49%,168
ENVOY CABINETRY (63291-P1),31.34,$55,0,0%,1,10%,10
EPOXY 2 U (51167-P1),1.12,$12,1,100%,1,6%,36
EROS (88670-P1),29.51,$919,0,0%,4,31%,16
ESOULK (100065-P1),14.5,$48,0,0%,1,15%,27
ETNA PRODUCTS CO (112699-P1),12.0,$404,1,33%,3,62%,8
EURO FLEX ADJUSTABLE BEDS & NATURAL MATTRESSES (240634-P1),15.16,$40,0,0%,3,30%,10
EVA'S ESTHETICS INC dba TUEL BERODIN (87411-P1),17.02,"$1,811",8,30%,27,75%,40
EVASIVE MOTORSPORTS (80883-P1),15.18,"$2,911",9,15%,59,69%,93
EVEREST GROUP USA (237700-P1),14.06,"$1,622",4,21%,19,24%,85
EVO AMERICA LLC (104638-P1),16.8,"$10,099",51,29%,177,46%,411
EVOLUTION ELECTRIC VEHICLES (233844-P1),6.47,$445,0,0%,3,,
EX-LITE INC (89646-P1),17.48,"$3,536",19,37%,52,57%,108
EXCELL ENTERPRISES INC (90024-P1),26.47,$596,3,33%,9,71%,14
EXOTIC AUTO RECYCLING (84822-P1),18.52,"$2,377",8,23%,35,84%,44
EXPORT TRADE SERVICES INC (104573-P1),16.75,$467,3,75%,4,50%,8
EXPRESSWAY TRANSPORTATION (240540-P1),11.69,$165,0,0%,4,15%,13
EXT FABRICS (50457-P1),15.04,"$1,505",11,61%,18,64%,33
EZ BATHS LLC (84645-P1),19.62,$221,0,0%,2,50%,4
EZGO EXPRESS (65702-P1),26.62,$357,3,75%,4,17%,24
EZMOD FURNITURE (252332-P1),10.0,$22,1,100%,1,0%,3
F1 GLOBAL INC (231766-P1),23.62,$880,5,56%,9,23%,44
FAC LOGISTICS (107878-P1),14.07,$307,2,29%,7,36%,25
FAIRMONT DESIGN (240541-P1),14.16,$766,2,33%,6,25%,24
FAMILY FOODS INTERNATIONAL (228150-P1),14.75,$799,1,33%,3,9%,35
FANTINI MOSAICI (105209-P1),22.87,$414,1,100%,1,43%,7
FARM KING SUPPLY (113819-P1),12.36,$274,2,29%,7,8%,95
FARM PLASTIC SUPPLY (96226-P1),15.02,"$7,560",37,33%,113,33%,357
FAS ALLIANCE (243652-P1),16.6,$795,4,100%,4,80%,5
FBD LOGISTICS (228466-P1),26.07,"$50,396",32,18%,180,32%,398
FH GROUP (241392-P1),24.93,$236,1,50%,2,25%,12
FIBER CABLES DIRECT (50326-P1),16.84,$60,0,0%,1,50%,2
FIL-AM ASIAN STORE (234067-P1),25.05,$375,0,0%,1,17%,6
FINELINE SETTINGS (247361-P1),19.59,"$1,383",4,67%,6,11%,55
FIREFOLD (102154-P1),12.0,$44,0,0%,1,23%,30
FIRST FLAG GLOBAL LOGISTICS (255219-P1),22.87,$608,3,75%,4,67%,6
FITEC INTERNATIONAL (104202-P1),9.26,"$1,600",4,17%,23,27%,93
FITZGERALD FORMLINERS (240542-P1),12.38,$530,1,17%,6,28%,25
FLAMECHECK INTERNATIONAL (243261-P1),13.28,$40,0,0%,1,33%,3
FLEX WIRES (50514-P1),30.37,$382,1,20%,5,80%,5
FLORENCE FILTER CORP (50231-P1),15.89,$775,1,6%,16,8%,180
FLOTTEC LLC (116519-P1),30.88,$771,4,200%,2,50%,4
FOCUS SHIPPING (243636-P1),11.72,"$1,574",14,37%,38,77%,30
FOOD FINDERS USA (50626-P1),29.01,"$4,992",11,61%,18,14%,134
FORCE MEASUREMENT SYSTEMS (243921-P1),11.67,$76,0,0%,3,60%,5
FOREVER REDWOOD (102661-P1),18.74,"$4,338",12,39%,31,34%,96
FORTUNET INC (102000-P1),12.83,$200,0,0%,3,43%,7
FOSTER STEPHENS (111541-P1),14.13,$832,1,8%,12,14%,94
FOSTER'S INC (102702-P1),15.85,$112,1,50%,2,20%,10
FOVITEC (93285-P1),22.43,$703,4,67%,6,58%,12
FUN BEVERAGE (246407-P1),16.32,$348,0,0%,1,100%,1
GALOT INC (51119-P1),10.47,$206,0,0%,3,2%,229
GARGOYLE TECHNOLOGIES INC (251575-P1),11.13,$378,1,50%,2,50%,2
GARLAND VENTURE GROUP LLC (98517-P1),23.65,$277,2,33%,6,34%,29
GEAR BAGS (241593-P1),14.89,"$1,303",14,56%,25,65%,40
GENERAL FLOORCRAFT (234115-P1),12.52,$723,2,12%,16,53%,32
GENERAL RESTAURANT EQUIPMENT CO (88742-P1),15.73,$120,2,67%,3,1%,301
GENEVA HEALTHCARE (107121-P1),26.26,$44,0,0%,1,25%,4
GENTEKK INDUSTRIES (66603-P1),17.6,$433,2,40%,5,100%,5
GENUINE DENTAL SUPPLY (253411-P1),10.17,$25,1,100%,1,100%,2
GENUS HAIR PRODUCTS (228194-P1),21.0,$411,1,50%,2,67%,3
GERIMAX INC (101220-P1),29.63,$98,0,0%,1,100%,1
GIDEONS INC (116845-P1),30.27,$649,1,8%,13,54%,24
GIFTABLE WORLD (103041-P1),25.41,"$2,262",4,44%,9,38%,24
GILL MANUFACTURING (228586-P1),29.93,$325,3,150%,2,20%,20
GILLIS & LANE INC (67037-P1),22.76,"$6,716",13,21%,63,100%,65
GLADIATOR CARGO NETS (84818-P1),14.9,"$1,144",13,50%,26,62%,53
GLOBAL CARTAGE INC (116473-P1),15.44,"$5,119",24,33%,73,66%,155
GLOBAL FOODS INC (92503-P1),18.12,"$3,440",13,48%,27,3%,997
GLOBAL SALES GROUP - CA (88672-P1),20.45,$500,2,40%,5,42%,12
GLOBAL USA INC / MERCY USA (101831-P1),15.63,"$1,689",7,22%,32,69%,59
GLOWORKS (101700-P1),34.26,"$1,052",3,60%,5,50%,16
